,Month,Total,1 unit,2 to 4,5 units
421,2003-01-01,113.3,90.1,3.4,19.8
422,2003-02-01,115.7,92.3,1.7,21.7
423,2003-03-01,125.4,101.0,3.5,20.9
424,2003-04-01,129.5,105.2,3.1,21.3
425,2003-05-01,142.9,113.4,2.6,26.9
426,2003-06-01,144.2,117.1,2.3,24.8
427,2003-07-01,141.6,117.5,2.7,21.4
428,2003-08-01,143.2,117.1,2.1,24.0
429,2003-09-01,152.5,126.6,3.7,22.1
430,2003-10-01,155.4,135.2,1.7,18.5
431,2003-11-01,148.5,129.4,1.8,17.3
432,2003-12-01,166.4,141.4,3.0,22.0
433,2004-01-01,118.6,99.4,0.9,18.2
434,2004-02-01,119.5,101.2,2.1,16.2
435,2004-03-01,137.0,115.1,1.5,20.4
436,2004-04-01,152.0,129.0,1.7,21.3
437,2004-05-01,159.5,125.1,1.9,32.5
438,2004-06-01,162.1,130.4,2.2,29.5
439,2004-07-01,159.0,127.8,3.0,28.2
440,2004-08-01,176.6,137.2,2.0,37.4
441,2004-09-01,158.2,136.2,1.7,20.3
442,2004-10-01,165.1,140.7,2.4,22.0
443,2004-11-01,150.4,128.7,1.6,20.1
444,2004-12-01,184.1,160.8,2.4,20.8
445,2005-01-01,130.9,109.8,3.2,18.0
446,2005-02-01,132.0,111.7,3.5,16.7
447,2005-03-01,135.7,116.7,2.1,17.0
448,2005-04-01,150.7,126.7,2.2,21.8
449,2005-05-01,176.3,145.3,4.2,26.8
450,2005-06-01,171.0,144.5,3.0,23.4
451,2005-07-01,158.5,136.3,3.5,18.6
452,2005-08-01,178.3,145.0,5.2,28.1
453,2005-09-01,172.0,147.8,2.8,21.4
454,2005-10-01,175.7,147.1,2.2,26.3
455,2005-11-01,162.8,142.2,1.9,18.8
456,2005-12-01,187.5,162.8,3.6,21.1
457,2006-01-01,142.4,115.1,3.2,24.0
458,2006-02-01,141.7,120.8,4.8,16.1
459,2006-03-01,169.2,144.9,3.5,20.8
460,2006-04-01,160.3,134.0,2.6,23.8
461,2006-05-01,158.8,133.7,3.0,22.2
462,2006-06-01,179.6,151.7,2.7,25.2
463,2006-07-01,163.6,138.7,2.1,22.9
464,2006-08-01,170.4,142.4,2.8,25.2
465,2006-09-01,180.9,152.6,2.9,25.4
466,2006-10-01,172.5,142.4,3.5,26.5
467,2006-11-01,158.9,131.4,4.9,22.6
468,2006-12-01,181.1,146.7,4.8,29.5
469,2007-01-01,127.3,103.9,2.2,21.1
470,2007-02-01,112.5,90.5,2.6,19.4
471,2007-03-01,122.8,100.2,2.8,19.8
472,2007-04-01,118.9,98.1,3.1,17.8
473,2007-05-01,129.5,107.5,3.8,18.2
474,2007-06-01,131.2,107.5,2.9,20.7
475,2007-07-01,129.0,101.2,2.7,25.1
476,2007-08-01,136.9,107.9,2.5,26.5
477,2007-09-01,123.2,99.8,2.6,20.7
478,2007-10-01,126.0,103.4,2.4,20.3
479,2007-11-01,118.7,98.9,2.3,17.5
480,2007-12-01,126.8,99.4,1.5,25.8
481,2008-01-01,93.5,69.0,3.1,21.4
482,2008-02-01,87.0,63.2,2.1,21.7
483,2008-03-01,89.8,69.0,1.0,19.8
484,2008-04-01,79.6,62.0,2.5,15.0
485,2008-05-01,96.5,73.6,1.5,21.4
486,2008-06-01,99.7,73.6,1.9,24.2
487,2008-07-01,91.5,69.2,2.0,20.3
488,2008-08-01,94.5,62.3,1.9,30.2
489,2008-09-01,104.2,75.3,3.0,25.9
490,2008-10-01,94.1,68.5,1.1,24.5
491,2008-11-01,91.5,66.8,1.6,23.1
492,2008-12-01,97.8,66.3,2.0,29.5
493,2009-01-01,54.7,39.0,0.5,15.1
494,2009-02-01,56.5,36.4,0.9,19.1
495,2009-03-01,62.1,41.3,1.1,19.7
496,2009-04-01,65.5,41.3,1.2,23.0
497,2009-05-01,68.1,41.1,0.9,26.1
498,2009-06-01,70.3,44.4,1.0,24.9
499,2009-07-01,66.4,41.1,1.2,24.2
500,2009-08-01,73.9,44.5,1.7,27.8
501,2009-09-01,64.4,43.9,1.5,19.1
502,2009-10-01,67.4,49.0,1.3,17.1
503,2009-11-01,72.6,50.1,1.3,21.2
504,2009-12-01,72.4,48.0,2.0,22.5
505,2010-01-01,46.3,30.0,1.3,15.1
506,2010-02-01,45.4,30.7,0.6,14.1
507,2010-03-01,48.6,37.6,0.6,10.4
508,2010-04-01,57.7,42.9,0.9,13.9
509,2010-05-01,58.7,43.0,0.5,15.2
510,2010-06-01,77.7,60.1,0.7,16.9
511,2010-07-01,48.2,39.2,0.7,8.3
512,2010-08-01,54.6,41.4,0.6,12.6
513,2010-09-01,56.7,43.9,1.0,11.8
514,2010-10-01,54.8,44.7,0.6,9.5
515,2010-11-01,48.3,38.7,0.4,9.2
516,2010-12-01,54.7,44.0,1.0,9.6
517,2011-01-01,35.0,28.4,0.4,6.2
518,2011-02-01,42.0,32.9,0.5,8.5
519,2011-03-01,43.8,28.2,0.5,15.1
520,2011-04-01,42.2,33.3,1.3,7.7
521,2011-05-01,45.4,36.6,0.4,8.4
522,2011-06-01,50.5,39.7,1.4,9.4
523,2011-07-01,53.6,40.2,0.8,12.6
524,2011-08-01,57.3,42.1,0.5,14.7
525,2011-09-01,54.7,38.4,0.9,15.3
526,2011-10-01,52.1,41.3,0.5,10.3
527,2011-11-01,50.1,40.7,0.4,9.0
528,2011-12-01,58.3,44.8,0.8,12.6
529,2012-01-01,36.4,26.0,0.6,9.8
530,2012-02-01,39.0,29.4,0.3,9.3
531,2012-03-01,44.4,33.6,0.8,9.9
532,2012-04-01,52.3,37.6,0.3,14.5
533,2012-05-01,50.0,39.3,1.2,9.5
534,2012-06-01,55.1,42.4,1.4,11.2
535,2012-07-01,58.2,38.3,0.9,19.0
536,2012-08-01,64.8,43.3,1.0,20.5
537,2012-09-01,58.7,46.6,0.4,11.7
538,2012-10-01,67.7,50.1,0.4,17.2
539,2012-11-01,57.8,45.6,0.7,11.5
540,2012-12-01,64.8,50.7,0.7,13.4
541,2013-01-01,47.5,36.9,0.6,9.9
542,2013-02-01,49.7,39.6,0.5,9.7
543,2013-03-01,61.7,45.8,0.4,15.5
544,2013-04-01,54.6,40.5,0.5,13.6
545,2013-05-01,58.3,46.3,0.8,11.2
546,2013-06-01,66.0,47.0,1.2,17.8
547,2013-07-01,67.0,47.2,0.8,19.0
548,2013-08-01,71.6,50.7,0.5,20.5
549,2013-09-01,69.7,50.9,0.7,18.0
550,2013-10-01,73.7,56.9,1.0,15.9
551,2013-11-01,70.8,52.9,0.9,17.0
552,2013-12-01,73.8,54.5,1.2,18.1
553,2014-01-01,56.2,40.3,0.9,15.0
554,2014-02-01,59.5,43.1,0.6,15.8
555,2014-03-01,67.6,47.8,0.9,18.8
556,2014-04-01,63.8,46.4,0.3,17.1
557,2014-05-01,73.4,52.7,0.9,19.7
558,2014-06-01,71.0,51.0,0.4,19.6
559,2014-07-01,71.9,51.5,0.6,19.8
560,2014-08-01,86.9,54.1,1.1,31.6
561,2014-09-01,88.5,56.9,0.7,31.0
562,2014-10-01,83.7,57.6,0.6,25.5
563,2014-11-01,71.9,53.6,1.0,17.2
564,2014-12-01,89.5,64.5,0.6,24.5
565,2015-01-01,65.1,45.3,0.5,19.4
566,2015-02-01,59.3,41.8,1.2,16.3
567,2015-03-01,60.5,44.7,0.9,15.0
568,2015-04-01,77.1,53.3,1.0,22.8
569,2015-05-01,83.9,54.2,0.6,29.2
570,2015-06-01,85.4,55.7,0.8,28.9
571,2015-07-01,86.3,52.1,1.1,33.2
572,2015-08-01,92.1,58.6,0.8,32.7
573,2015-09-01,92.6,58.0,0.7,33.9
574,2015-10-01,89.5,60.0,0.8,28.7
575,2015-11-01,80.9,55.2,1.1,24.6
576,2015-12-01,95.6,69.0,0.8,25.8
577,2016-01-01,72.5,46.7,1.2,24.6
578,2016-02-01,71.2,51.4,1.4,18.3
579,2016-03-01,78.8,55.4,0.7,22.7
580,2016-04-01,73.8,55.6,0.7,17.6
581,2016-05-01,83.5,60.2,0.7,22.6
582,2016-06-01,97.9,65.9,0.8,31.2
583,2016-07-01,93.4,61.2,0.7,31.5
584,2016-08-01,98.0,66.0,0.9,31.1
585,2016-09-01,90.2,63.7,1.3,25.3
586,2016-10-01,96.7,70.0,0.6,26.1
587,2016-11-01,100.0,67.3,0.8,31.9
588,2016-12-01,103.6,75.0,0.6,28.0
589,2017-01-01,74.6,55.0,0.3,19.4
590,2017-02-01,78.9,52.7,1.1,25.1
591,2017-03-01,92.0,62.4,1.3,28.3
592,2017-04-01,83.4,60.1,1.6,21.7
593,2017-05-01,98.1,66.9,1.0,30.3
594,2017-06-01,109.9,71.3,1.1,37.5
595,2017-07-01,102.2,69.4,0.6,32.1
596,2017-08-01,102.1,65.6,0.3,36.2
597,2017-09-01,96.2,68.2,0.7,27.3
598,2017-10-01,106.9,73.3,0.6,33.1
599,2017-11-01,95.1,68.1,1.1,26.0
600,2017-12-01,113.4,82.4,1.2,29.8
601,2018-01-01,84.0,59.8,0.7,23.5
602,2018-02-01,88.6,61.3,0.4,26.9
603,2018-03-01,94.9,67.1,0.8,27.0
604,2018-04-01,94.7,61.0,0.9,32.8
605,2018-05-01,105.7,74.1,1.0,30.6
606,2018-06-01,108.6,75.6,0.7,32.2
607,2018-07-01,101.9,67.6,0.5,33.7
608,2018-08-01,113.9,83.6,0.5,29.9
609,2018-09-01,100.9,72.7,0.8,27.3
610,2018-10-01,100.2,75.5,0.8,23.9
611,2018-11-01,91.9,66.9,0.9,24.1
612,2018-12-01,99.6,74.9,0.9,23.7
613,2019-01-01,87.2,64.2,0.2,22.8
614,2019-02-01,92.1,57.6,1.2,33.3
615,2019-03-01,104.9,75.2,1.0,28.7
616,2019-04-01,103.4,72.4,0.9,30.1
617,2019-05-01,103.3,74.6,0.4,28.4
618,2019-06-01,103.9,76.9,1.0,26.0
619,2019-07-01,108.5,75.9,1.1,31.6
620,2019-08-01,116.8,83.3,1.0,32.5
621,2019-09-01,96.3,72.9,0.2,23.2
622,2019-10-01,114.1,84.0,0.5,29.6
623,2019-11-01,101.4,78.7,0.8,22.0
624,2019-12-01,123.1,87.6,0.6,34.9
625,2020-01-01,90.2,62.5,0.7,27.0
626,2020-02-01,90.8,70.8,0.6,19.4
627,2020-03-01,101.7,72.3,0.6,28.7
628,2020-04-01,94.6,69.3,0.7,24.6
629,2020-05-01,98.5,69.5,1.2,27.7
630,2020-06-01,110.7,81.8,0.4,28.5
631,2020-07-01,117.1,79.5,0.9,36.7
632,2020-08-01,111.2,78.9,0.9,31.3
633,2020-09-01,121.1,78.6,1.0,41.4
634,2020-10-01,120.8,80.7,1.4,38.8
635,2020-11-01,99.8,75.6,0.8,23.4
636,2020-12-01,130.5,92.0,1.2,37.3
637,2021-01-01,93.7,72.2,0.3,21.1
638,2021-02-01,94.6,72.5,0.6,21.5
639,2021-03-01,120.5,83.9,0.5,36.1
640,2021-04-01,112.4,78.9,0.2,33.3
641,2021-05-01,112.0,80.3,0.4,31.4
642,2021-06-01,115.9,80.9,0.7,34.4
643,2021-07-01,121.4,78.5,1.3,41.5
644,2021-08-01,117.6,83.0,0.6,34.0
645,2021-09-01,103.0,79.0,0.6,23.4
646,2021-10-01,110.8,83.0,1.2,26.6
647,2021-11-01,111.7,78.2,0.7,32.8
648,2021-12-01,127.3,99.2,0.5,27.6
649,2022-01-01,87.1,65.6,0.9,20.6
650,2022-02-01,98.6,78.6,0.5,19.5
651,2022-03-01,112.7,87.9,0.9,23.9
652,2022-04-01,107.4,81.2,1.2,25.0
653,2022-05-01,120.9,87.1,0.5,33.3
654,2022-06-01,122.4,87.5,0.6,34.3
655,2022-07-01,123.5,82.9,0.5,40.2
656,2022-08-01,122.2,90.0,0.7,31.6
657,2022-09-01,120.4,88.5,0.2,31.8
658,2022-10-01,118.1,84.7,1.5,31.9
659,2022-11-01,125.1,91.3,0.7,33.1
660,2022-12-01,132.0,96.8,1.3,33.9
661,2023-01-01,94.8,71.0,0.6,23.2
662,2023-02-01,111.7,76.9,0.4,34.4
663,2023-03-01,126.4,87.2,1.0,38.2
664,2023-04-01,111.3,77.4,1.3,32.6
665,2023-05-01,129.6,84.4,1.6,43.7
666,2023-06-01,131.1,87.2,0.7,43.2
667,2023-07-01,115.7,83.0,0.9,31.8
668,2023-08-01,122.1,82.4,1.1,38.6
669,2023-09-01,123.0,83.8,0.8,38.4
670,2023-10-01,118.6,85.2,1.1,32.3
671,2023-11-01,116.4,79.1,1.3,36.0
672,2023-12-01,151.8,104.8,0.9,46.2
